gene_name	number_of_transposon_per_gene	number_of_read_pergene
YPL238C 	0 	0 	
SUI3 	0 	0 	
ENV7 	20 	916 	
RVB2 	2 	1 	
VMA11 	1 	0 	
NSL1 	2 	1 	
SSO1 	8 	130 	
FAS2 	1 	0 	
USV1 	24 	556 	
YPL229W 	15 	444 	
CET1 	2 	1 	
ALG5 	16 	395 	
NEW1 	26 	645 	
YPL225W 	2 	25 	
MMT2 	30 	2157 	
GRE1 	15 	435 	
FMP40 	45 	1972 	
YPL222C-A 	7 	146 	
FLC1 	55 	3817 	
RPL1A 	2 	3 	
PCL8 	21 	789 	
SAR1 	2 	1 	
BMS1 	12 	364 	
YPL216W 	41 	1036 	
CBP3 	12 	158 	
THI6 	32 	2723 	
LEA1 	22 	971 	
PUS1 	39 	2138 	
NIP7 	1 	0 	
SRP72 	4 	23 	
IPL1 	2 	15 	
RKM1 	26 	856 	
TYW1 	45 	1938 	
PGC1 	16 	473 	
YPL205C 	21 	403 	
HRR25 	16 	556 	
TPK2 	24 	1646 	
AFT2 	32 	1412 	
YIG1 	21 	1019 	
CSM4 	4 	144 	
YPL199C 	14 	355 	
RPL7B 	17 	213 	
YPL197C 	3 	8 	
OXR1 	12 	229 	
APL5 	13 	276 	
DDC1 	8 	123 	
RSA1 	11 	218 	
PRM3 	0 	0 	
YPL191C 	19 	1819 	
NAB3 	1 	0 	
COA2 	1 	0 	
GUP2 	31 	1182 	
POS5 	9 	46 	
MF
UIP4 	18 	1041 	
YPL185W 	28 	1089 	
MRN1 	43 	1561 	
RTC6 	6 	130 	
RTT10 	51 	2558 	
YPL182C 	10 	116 	
CTI6 	12 	125 	
TCO89 	28 	1187 	
PPQ1 	12 	402 	
CBC2 	9 	326 	
CUP9 	18 	831 	
TRE1 	69 	4282 	
SPT14 	1 	0 	
NIP100 	10 	111 	
MRPL40 	20 	947 	
COX10 	25 	702 	
OYE3 	32 	1998 	
DAP1 	27 	1375 	
MEX67 	2 	1 	
YPL168W 	23 	846 	
REV3 	34 	772 	
ATG29 	11 	469 	
SET6 	12 	176 	
MLH3 	25 	902 	
SVS1 	6 	40 	
YPL162C 	12 	418 	
BEM4 	16 	588 	
CDC60 	0 	0 	
PET20 	7 	245 	
AIM44 	40 	1339 	
TGS1 	32 	1432 	
PRM4 	11 	856 	
KIP2 	68 	5369 	
PEP4 	21 	564 	
RAD53 	10 	249 	
YPL152W-A 	2 	1 	
RRD2 	6 	217 	
PRP46 	10 	400 	
YPL150W 	49 	2042 	
ATG5 	9 	40 	
PPT2 	1 	0 	
PXA1 	13 	523 	
NOP53 	4 	21 	
KES1 	10 	536 	
POC4 	8 	182 	
RPL33A 	1 	0 	
YPL142C 	1 	0 	
FRK1 	52 	3388 	
MKK2 	21 	564 	
UME1 	12 	332 	
SPP1 	10 	665 	
GIP3 	48 	1181 	
YPL136W 	2 	1 	
ISU1 	6 	97 	
YPL135C-A 	0 	0 	
ODC1 	38 	2020 	
RDS2 	37 	2472 	
COX11 	20 	980 	
RPL5 	0 	0 	
SPO19 	8 	52 	
TAF14 	1 	0 	
TBF1 	3 	21 	
HHO1 	30 	752 	
NAN1 	2 	5 	
KAP120 	21 	409 	
SPC29 	0 	0 	
RNY1 	20 	950 	
TFB2 	7 	156 	
MEI5 	9 	253 	
VPS30 	19 	380 	
YPL119C-A 	3 	8 	
DBP1 	22 	689 	
MRP51 	9 	43 	
IDI1 	1 	0 	
HOS3 	42 	2106 	
BEM3 	23 	1029 	
YPL114W 	7 	340 	
YPL113C 	19 	671 	
PEX25 	13 	77 	
CAR1 	82 	12167 	
GDE1 	62 	2854 	
YPL109C 	40 	1796 	
YPL108W 	10 	233 	
YPL107W 	18 	1131 	
SSE1 	15 	309 	
SYH1 	44 	2030 	
MSD1 	21 	493 	
FMP30 	35 	2933 	
YPL102C 	14 	1447 	
ELP4 	23 	1154 	
ATG21 	10 	297 	
INA17 	10 	458 	
MGR2 	4 	23 	
MSY1 	23 	453 	
ERI1 	1 	0 	
PNG1 	19 	513 	
EEB1 	42 	1298 	
SEC62 	4 	19 	
NOG1 	6 	25 	
SSU1 	40 	3174 	
GLR1 	25 	1020 	
RPS6A 	12 	87 	
RLM1 	15 	590 	
YPL088W 	36 	4033 	
YDC1 	12 	333 	
ELP3 	14 	454 	
SEC16 	8 	159 	
BRO1 	3 	2 	
SEN54 	3 	19 	
MOT1 	1 	0 	
RPS9A 	23 	660 	
YPL080C 	24 	1442 	
RPL21B 	10 	119 	
ATP4 	7 	179 	
YPL077C 	24 	1055 	
GPI2 	4 	142 	
GCR1 	26 	1494 	
YTA6 	41 	1405 	
YPL073C 	4 	22 	
UBP16 	22 	1104 	
YPL071C 	14 	361 	
MUK1 	32 	1274 	
BTS1 	21 	924 	
YPL068C 	16 	620 	
YPL067C 	38 	2268 	
RGL1 	31 	1756 	
VPS28 	3 	8 	
CWC27 	25 	1086 	
TIM50 	4 	35 	
YPL062W 	44 	3842 	
ALD6 	43 	2245 	
MFM1 	27 	1355 	
GRX5 	6 	42 	
PDR12 	62 	2253 	
SUR1 	11 	249 	
LCL1 	34 	1439 	
LGE1 	40 	1819 	
LEE1 	30 	1857 	
KTR6 	46 	3495 	
OAZ1 	14 	217 	
ARL3 	15 	513 	
MNN9 	0 	0 	
DIG1 	64 	2124 	
CAM1 	36 	967 	
SGF11 	5 	115 	
ELC1 	6 	29 	
VPS16 	17 	324 	
YPL044C 	2 	3 	
NOP4 	10 	80 	
SSN3 	35 	995 	
YPL041C 	22 	1678 	
ISM1 	61 	1873 	
YPL039W 	40 	6666 	
YPL038W-A 	10 	295 	
MET31 	25 	1444 	
EGD1 	4 	144 	
PMA2 	51 	1774 	
YPL035C 	10 	219 	
YPL034W 	22 	798 	
SRL4 	16 	1707 	
SVL3 	59 	1801 	
PHO85 	15 	382 	
TRM44 	64 	3290 	
SUV3 	45 	1209 	
ERG10 	0 	0 	
SMA1 	38 	1212 	
SKS1 	34 	1176 	
YPL025C 	28 	2521 	
RMI1 	10 	138 	
MET12 	39 	1476 	
RAD1 	57 	2433 	
ECM23 	24 	1156 	
ULP1 	24 	543 	
VTC3 	127 	7900 	
CTF19 	30 	434 	
IRC15 	96 	12943 	
SWI1 	42 	902 	
HST2 	93 	14668 	
YPL014W 	94 	10945 	
MRPS16 	26 	799 	
RRP12 	7 	86 	
TAF3 	42 	2786 	
RET3 	2 	1 	
TAE2 	108 	7037 	
CHL1 	115 	4422 	
TFC8 	5 	78 	
NCR1 	226 	24620 	
AEP3 	77 	3225 	
LSP1 	71 	3261 	
ULA1 	144 	21989 	
SNF8 	37 	1342 	
HAT1 	103 	6865 	
CIT3 	125 	30890 	
PDH1 	152 	30943 	
YPR002C-A 	13 	39 	
YPR003C 	162 	13882 	
AIM45 	70 	3100 	
HAL1 	58 	2993 	
ICL2 	146 	14682 	
REC8 	144 	13863 	
HAA1 	99 	8337 	
SUT2 	31 	1697 	
RPA135 	0 	0 	
YPR010C-A 	14 	448 	
YPR011C 	91 	8206 	
YPR012W 	14 	859 	
CMR3 	49 	2679 	
YPR014C 	22 	782 	
YPR015C 	58 	4892 	
TIF6 	6 	153 	
YPR016W-A 	21 	221 	
DSS4 	13 	531 	
RLF2 	70 	3062 	
MCM4 	15 	776 	
ATP20 	6 	122 	
AGC1 	65 	4207 	
YPR022C 	111 	9735 	
EAF3 	39 	2426 	
YME1 	26 	525 	
CCL1 	4 	104 	
ATH1 	81 	2334 	
YPR027C 	11 	733 	
YOP1 	20 	503 	
APL4 	63 	3023 	
CSR2 	80 	4098 	
NTO1 	53 	3730 	
SRO7 	46 	2122 	
HTS1 	1 	0 	
ARP7 	12 	1694 	
GLN1 	3 	17 	
VMA13 	29 	788 	
YPR036W-A 	9 	76 	
ERV2 	35 	2502 	
IRC16 	24 	1625 	
YPR039W 	20 	1129 	
TIP41 	31 	1915 	
TIF5 	4 	86 	
PUF2 	29 	1253 	
RPL43A 	8 	88 	
OPI11 	2 	1 	
THP3 	25 	1217 	
MCM16 	3 	8 	
MSF1 	27 	871 	
TAH18 	0 	0 	
ATG11 	43 	2357 	
YPR050C 	36 	2327 	
MAK3 	48 	4057 	
NHP6A 	18 	841 	
YPR053C 	26 	922 	
SMK1 	21 	793 	
SEC8 	24 	962 	
TFB4 	0 	0 	
BRR1 	19 	1016 	
YMC1 	13 	891 	
YPR059C 	6 	213 	
ARO7 	3 	4 	
JID1 	18 	828 	
FCY1 	20 	1627 	
YPR063C 	18 	662 	
YPR064W 	28 	1596 	
ROX1 	15 	329 	
UBA3 	31 	2438 	
ISA2 	8 	165 	
HOS1 	32 	1021 	
SPE3 	8 	311 	
MED1 	14 	527 	
YPR071W 	29 	1037 	
NOT5 	7 	157 	
LTP1 	12 	463 	
TKL1 	40 	1735 	
YPR074W-A 	15 	1158 	
OPY2 	17 	946 	
YPR076W 	3 	38 	
YPR077C 	26 	1165 	
YPR078C 	41 	1841 	
MRL1 	38 	2084 	
TEF1 	3 	20 	
GRS2 	51 	2180 	
DIB1 	0 	0 	
MDM36 	23 	1865 	
YPR084W 	26 	1079 	
ASA1 	0 	0 	
SUA7 	1 	0 	
VPS69 	7 	254 	
SRP54 	8 	265 	
YPR089W 	29 	1607 	
NVJ2 	29 	1517 	
YPR092W 	17 	1855 	
ASR1 	19 	727 	
RDS3 	3 	3 	
SYT1 	43 	659 	
YPR096C 	15 	209 	
YPR097W 	62 	4598 	
YPR098C 	21 	772 	
YPR099C 	10 	331 	
MRPL51 	9 	299 	
SNT309 	5 	35 	
RPL11A 	0 	0 	
PRE2 	1 	0 	
FHL1 	26 	832 	
COG4 	2 	1 	
ISR1 	23 	1000 	
YTH1 	2 	4 	
RPN7 	1 	0 	
YPR108W-A 	14 	676 	
YPR109W 	40 	1561 	
RPC40 	4 	134 	
DBF20 	24 	1062 	
MRD1 	4 	27 	
PIS1 	3 	7 	
YPR114W 	27 	896 	
RGC1 	37 	2055 	
RRG8 	13 	396 	
YPR117W 	96 	4185 	
MRI1 	18 	648 	
CLB2 	4 	133 	
CLB5 	38 	2964 	
THI22 	31 	2975 	
AXL1 	106 	5144 	
YPR123C 	6 	150 	
CTR1 	14 	305 	
YLH47 	33 	1951 	
YPR126C 	9 	588 	
YPR127W 	16 	431 	
ANT1 	21 	1473 	
SCD6 	14 	147 	
YPR130C 	10 	26 	
NAT3 	2 	10 	
RPS23B 	23 	524 	
SPN1 	8 	103 	
TOM5 	0 	0 	
MSS18 	14 	455 	
CTF4 	14 	225 	
YPR136C 	1 	0 	
RRP9 	2 	1 	
MEP3 	46 	3020 	
LOA1 	7 	53 	
TAZ1 	21 	787 	
KAR3 	19 	621 	
YPR142C 	14 	603 	
RRP15 	3 	10 	
NOC4 	7 	227 	
ASN1 	46 	2101 	
YPR145C-A 	9 	246 	
YPR146C 	28 	1345 	
YPR147C 	22 	923 	
YPR148C 	24 	205 	
NCE102 	10 	320 	
YPR150W 	30 	1756 	
SUE1 	33 	2179 	
URN1 	74 	4787 	
YPR153W 	10 	362 	
PIN3 	10 	157 	
NCA2 	38 	1725 	
TPO3 	19 	408 	
TDA6 	46 	2561 	
CUR1 	14 	839 	
KRE6 	48 	923 	
YPR159C-A 	1 	0 	
GPH1 	28 	718 	
YPR160W-A 	0 	0 	
YPR160C-A 	1 	0 	
SGV1 	22 	1153 	
ORC4 	1 	0 	
TIF3 	8 	29 	
MMS1 	25 	846 	
RHO1 	0 	0 	
MRP2 	10 	286 	
MET16 	10 	540 	
NUT2 	3 	52 	
JIP5 	5 	75 	
YPR170C 	14 	696 	
YPR169W-A 	2 	3 	
YPR170W-B 	6 	98 	
YPR170W-A 	5 	44 	
BSP1 	41 	685 	
YPR172W 	14 	368 	
VPS4 	0 	0 	
YPR174C 	8 	115 	
DPB2 	4 	6 	
BET2 	0 	0 	
YPR177C 	4 	80 	
PRP4 	7 	92 	
HDA3 	33 	2155 	
AOS1 	0 	0 	
SEC23 	4 	9 	
SMX3 	0 	0 	
DPM1 	1 	0 	
GDB1 	44 	1588 	
ATG13 	26 	1218 	
PZF1 	1 	0 	
RPO26 	0 	0 	
MLC2 	5 	24 	
SKI3 	38 	1125 	
RPC82 	0 	0 	
QCR2 	8 	115 	
AQY1 	29 	1666 	
HPA2 	18 	872 	
OPT2 	17 	801 	
YPR195C 	12 	255 	
YPR196W 	37 	1711 	
YPR197C 	11 	933 	
SGE1 	31 	1122 	
ARR1 	17 	280 	
ARR2 	9 	222 	
ARR3 	14 	1084 	
YPR202W 	3 	7 	
YPR203W 	0 	0 	
YPR204W 	0 	0 	
YPR204C-A 	0 	0 	
Q0010 	5 	30 	
Q0017 	2 	1 	
Q0032 	5 	111 	
AI1 	39 	1561 	
AI2 	90 	4601 	
AI3 	112 	5619 	
AI4 	159 	8154 	
AI5_ALPHA 	175 	8695 	
COX1 	230 	12520 	
AI5_BETA 	26 	2078 	
ATP8 	0 	0 	
ATP6 	28 	2101 	
Q0092 	5 	9 	
BI2 	72 	5158 	
BI3 	133 	12145 	
BI4 	223 	21074 	
COB 	284 	25223 	
OLI1 	3 	17 	
VAR1 	28 	902 	
Q0142 	4 	8 	
Q0143 	4 	10 	
Q0144 	8 	185 	
SCEI 	42 	5467 	
Q0182 	8 	87 	
COX2 	34 	921 	
Q0255 	90 	4804 	
COX3 	33 	2904 	
Q0297 	3 	3 	
